,Nr of publication,Element 1,C 1,Element 2,C 2,Element 3,C 3,Element 4,C 4,Element 5,C 5,Element 6,C 6,Element 7,C 7,Element 8,C 8,Potential Yield
138,20.0,Ca,97.5999984741211,Pb,2.400000095367432,,,,,,,,,,,,,9.327166045178474
139,20.0,Ca,94.8000030517578,Pb,5.199999809265137,,,,,,,,,,,,,9.439999527865437
140,20.0,Ca,92.5999984741211,Pb,7.4000000953674325,,,,,,,,,,,,,9.514600184721063
141,20.0,Mg,100.0,,,,,,,,,,,,,,,7.84943748713423
142,20.0,Mg,97.8000030517578,Pb,2.200000047683716,,,,,,,,,,,,,9.593506517055765
143,20.0,Mg,96.1999969482422,Pb,3.7999999523162837,,,,,,,,,,,,,9.592951029645144
144,20.0,S,50.0,Ca,50.0,,,,,,,,,,,,,8.976695699631946
145,20.0,C,33.299999237060554,K,66.69999694824219,,,,,,,,,,,,,8.528000642234817
146,20.0,C,33.09999847412109,K,66.19999694824219,Pb,0.699999988079071,,,,,,,,,,,8.761467501623049
147,20.0,Si,100.0,,,,,,,,,,,,,,,5.233636291065533
148,20.0,Si,98.3000030517578,Pb,1.7000000476837158,,,,,,,,,,,,,5.6331114076998645
149,20.0,Al,100.0,,,,,,,,,,,,,,,3.772013535177482
150,20.0,C,50.0,Mg,50.0,,,,,,,,,,,,,7.695500171904532
151,21.0,Al,78.30000305175781,Pb,21.700000762939453,,,,,,,,,,,,,7.399953565124685
152,21.0,Si,88.0,Pb,12.0,,,,,,,,,,,,,6.357608298041168
153,21.0,Pb,100.0,,,,,,,,,,,,,,,9.662942453123712
154,21.0,Na,18.100000381469727,Al,71.19999694824219,Pb,10.699999809265137,,,,,,,,,,,8.74968003501439
155,21.0,Li,7.5999999046325675,Al,80.4000015258789,Pb,12.0,,,,,,,,,,,8.105760220442534
156,21.0,Al,54.70000076293945,K,37.0,Pb,8.300000190734862,,,,,,,,,,,8.225957291096622
157,21.0,Al,79.5999984741211,Ca,8.0,Pb,12.399999618530273,,,,,,,,,,,7.425259087138361
158,21.0,Li,100.0,,,,,,,,,,,,,,,11.965726443134093
159,21.0,Na,100.0,,,,,,,,,,,,,,,11.723323312327278
160,21.0,Ba,100.0,,,,,,,,,,,,,,,10.511903993632162
161,21.0,Li,19.100000381469727,Ca,80.9000015258789,,,,,,,,,,,,,12.801146678197007
162,21.0,Na,5.300000190734863,Ca,94.6999969482422,,,,,,,,,,,,,10.608315122380574
163,21.0,K,5.300000190734863,Ca,94.6999969482422,,,,,,,,,,,,,9.33119316135612
164,21.0,Mg,1.399999976158142,Ca,98.5999984741211,,,,,,,,,,,,,8.61869109927474
165,21.0,Ca,98.6999969482422,Sr,1.2999999523162842,,,,,,,,,,,,,8.701774116976969
166,21.0,Ca,98.5999984741211,Ba,1.399999976158142,,,,,,,,,,,,,9.057604565351436
167,21.0,Ca,94.8000030517578,Pb,5.199999809265137,,,,,,,,,,,,,9.3824633017905
168,22.0,Al,97.5,Pb,2.5,,,,,,,,,,,,,4.403502522247383
169,22.0,Al,90.6999969482422,Pb,9.300000190734863,,,,,,,,,,,,,6.798262356390091
170,23.0,Li,22.200000762939453,Ca,77.80000305175781,,,,,,,,,,,,,12.749495492778937
171,23.0,Na,7.300000190734862,Ca,92.6999969482422,,,,,,,,,,,,,10.753540097009834
172,23.0,Li,17.200000762939453,Mg,82.80000305175781,,,,,,,,,,,,,13.68090368533187
173,23.0,Li,17.600000381469727,Mg,81.19999694824219,Sn,1.2000000476837158,,,,,,,,,,,13.687333518967232
174,23.0,Zr,100.0,,,,,,,,,,,,,,,8.467127251443364
175,23.0,Na,8.0,P,2.0,S,16.0,K,4.0,Co,20.0,Zr,50.0,,,,,10.443207712433198
176,24.0,Cl,66.69999694824219,Ca,33.299999237060554,,,,,,,,,,,,,8.930599570910587
177,24.0,Mg,33.299999237060554,Cl,66.69999694824219,,,,,,,,,,,,,8.765201227695705
178,24.0,Li,50.0,Cl,50.0,,,,,,,,,,,,,11.201027859989619
179,24.0,Cl,50.0,Cs,50.0,,,,,,,,,,,,,9.883436975378716
180,24.0,Cl,66.69999694824219,Mn,33.299999237060554,,,,,,,,,,,,,9.656768374923695
181,24.0,Cl,66.69999694824219,Pb,33.299999237060554,,,,,,,,,,,,,9.21058730151327
182,24.0,Cl,66.69999694824219,Cd,33.299999237060554,,,,,,,,,,,,,8.474695026075642
183,24.0,Cl,66.69999694824219,Fe,33.299999237060554,,,,,,,,,,,,,7.46861641378407
184,24.0,Mg,11.100000381469727,Cl,66.69999694824219,Ca,22.200000762939453,,,,,,,,,,,9.048674960892999
185,24.0,Li,14.300000190734865,Cl,57.099998474121094,Ca,14.300000190734865,Mn,14.300000190734865,,,,,,,,,12.31373985962738
186,24.0,Li,14.300000190734865,Cl,57.099998474121094,Ca,14.300000190734865,Pr,14.300000190734865,,,,,,,,,12.250216413315934
187,24.0,Br,66.69999694824219,Ba,33.299999237060554,,,,,,,,,,,,,11.449076889591076
188,24.0,Cl,50.0,Bi,50.0,,,,,,,,,,,,,9.610767213537477
189,24.0,Ca,33.299999237060554,Br,66.69999694824219,,,,,,,,,,,,,8.971342281846537
190,24.0,Si,82.0,Br,12.0,Ba,6.0,,,,,,,,,,,7.593558108868739
191,24.0,Ca,82.0,Br,12.0,Ba,6.0,,,,,,,,,,,10.745179459208456
192,24.0,Zn,82.0,Br,12.0,Ba,6.0,,,,,,,,,,,10.468359557714123
193,24.0,K,6.0,Ti,88.0,Br,6.0,,,,,,,,,,,9.586826755610051
194,24.0,Cl,75.0,La,25.0,,,,,,,,,,,,,10.644727805539688
195,24.0,Na,8.5,Si,8.5,Zn,74.5,Pb,8.5,,,,,,,,,10.51525938677908
196,24.0,Cs,100.0,,,,,,,,,,,,,,,13.969568230502825
197,24.0,Li,100.0,,,,,,,,,,,,,,,14.116986293864967
198,24.0,Li,33.299999237060554,Ca,33.299999237060554,Pr,33.400001525878906,,,,,,,,,,,15.048826119806787
199,24.0,Li,33.299999237060554,Ca,33.299999237060554,Ce,33.400001525878906,,,,,,,,,,,14.852770570175661
200,24.0,Ca,100.0,,,,,,,,,,,,,,,14.5819954971314
201,24.0,Mg,100.0,,,,,,,,,,,,,,,12.305230939261486
202,24.0,Mn,100.0,,,,,,,,,,,,,,,14.684399115614932
203,24.0,Pb,100.0,,,,,,,,,,,,,,,14.156930890343428
204,24.0,Fe,100.0,,,,,,,,,,,,,,,11.38994241398552
205,26.0,Li,21.100000381469727,Mg,52.599998474121094,Ti,26.29999923706055,,,,,,,,,,,12.531746007377716
206,26.0,Li,25.0,Ca,50.0,Ti,25.0,,,,,,,,,,,12.63219332761916
207,26.0,Li,33.299999237060554,Ti,22.299999237060547,Sr,44.400001525878906,,,,,,,,,,,12.204531336555931
208,26.0,Li,45.5,La,54.5,,,,,,,,,,,,,13.246224660372949
209,26.0,Na,18.200000762939453,La,81.80000305175781,,,,,,,,,,,,,13.84431109749047
210,26.0,K,11.5,La,88.5,,,,,,,,,,,,,13.225703496110567
211,26.0,Li,19.200000762939453,La,80.80000305175781,,,,,,,,,,,,,13.371750659565507
212,26.0,Sr,1.8999999761581419,La,98.0999984741211,,,,,,,,,,,,,12.71766601206797
213,27.0,Li,7.0,Mg,93.0,,,,,,,,,,,,,11.709090160824978
214,27.0,Li,3.0,Mg,97.0,,,,,,,,,,,,,10.87019196958822
215,27.0,Li,3.0,Mg,94.0,Sn,3.0,,,,,,,,,,,11.36961351177405
216,27.0,Li,3.0,Si,97.0,,,,,,,,,,,,,5.506007236100181
217,27.0,Li,3.0,Al,97.0,,,,,,,,,,,,,4.967562970135717
218,27.0,Li,3.0,Si,48.5,Ca,48.5,,,,,,,,,,,8.471641057324282
219,27.0,Al,75.0,Pb,25.0,,,,,,,,,,,,,7.876863222687205
220,28.0,Li,50.0,C,25.0,Zr,25.0,,,,,,,,,,,11.468283566637323
221,29.0,Ba,20.0,Ce,80.0,,,,,,,,,,,,,9.253391907651421
222,31.0,Ca,91.6999969482422,Ba,8.300000190734862,,,,,,,,,,,,,10.922739711713128
223,32.0,Mg,2.799999952316284,Cl,5.699999809265138,Ca,91.5,,,,,,,,,,,9.780781507322706
224,33.0,Li,50.0,Be,50.0,,,,,,,,,,,,,12.202163816808254
225,34.0,Mg,95.6999969482422,Pb,4.300000190734863,,,,,,,,,,,,,9.86325853408652
226,35.0,Mg,99.0999984741211,Pb,0.8999999761581421,,,,,,,,,,,,,11.074300021543465
227,36.0,Li,20.0,Al,80.0,,,,,,,,,,,,,9.467074448205244
228,36.0,Al,83.9000015258789,Pb,16.100000381469727,,,,,,,,,,,,,7.317116396659624
229,36.0,Na,7.0999999046325675,Al,92.9000015258789,,,,,,,,,,,,,4.84487431390025
230,36.0,Al,66.69999694824219,Ca,33.299999237060554,,,,,,,,,,,,,7.157688154859645
231,36.0,Al,66.69999694824219,Bi,33.299999237060554,,,,,,,,,,,,,7.201072057067168
232,36.0,Al,87.5999984741211,Mn,12.399999618530273,,,,,,,,,,,,,5.3720240613064725
233,36.0,Al,50.0,Cr,25.0,Fe,25.0,,,,,,,,,,,3.8919418927210625
234,36.0,C,50.0,Si,50.0,,,,,,,,,,,,,5.397088895893217
235,36.0,Sn,50.0,Bi,50.0,,,,,,,,,,,,,7.400654363030998
236,36.0,Li,24.79999923706055,Mg,75.19999694824219,,,,,,,,,,,,,13.369178859401055
237,36.0,Li,24.70000076293945,Al,75.30000305175781,,,,,,,,,,,,,11.451211033565606
238,36.0,Na,23.5,Al,68.5,Pb,8.0,,,,,,,,,,,9.559263913928115
239,37.0,Na,16.700000762939453,Cl,16.700000762939453,Mn,66.59999847412111,,,,,,,,,,,13.401258682816659
240,38.0,Sr,50.0,Ce,45.0,Yb,5.0,,,,,,,,,,,14.079316231406393
241,38.0,Li,50.0,Ni,50.0,,,,,,,,,,,,,11.56317582573876
242,40.0,Mg,95.3000030517578,Pb,4.699999809265137,,,,,,,,,,,,,9.894061834779306
243,41.0,Li,37.0,Mg,63.0,,,,,,,,,,,,,13.041661247220514
244,42.0,Li,14.300000190734865,Mg,85.69999694824219,,,,,,,,,,,,,13.30870266113383
245,42.0,Li,14.300000190734865,Mg,85.69999694824219,,,,,,,,,,,,,15.248969958600695
246,43.0,Li,75.0,Ti,25.0,,,,,,,,,,,,,14.368785194752798
247,44.0,Li,66.69999694824219,Ti,33.299999237060554,,,,,,,,,,,,,11.890072283241397
248,44.0,Li,66.69999694824219,Ce,33.299999237060554,,,,,,,,,,,,,12.10055034919341
249,44.0,Li,66.69999694824219,Zr,33.299999237060554,,,,,,,,,,,,,11.52065152167333
250,44.0,Li,15.5,Pr,84.5,,,,,,,,,,,,,12.244897364065727
251,44.0,Li,11.5,Na,11.5,Pr,77.0,,,,,,,,,,,12.663096820250813
252,45.0,P,12.0,K,12.0,Zn,76.0,,,,,,,,,,,9.036182020667077
253,45.0,P,12.0,K,12.0,Ca,76.0,,,,,,,,,,,9.055401503702315
254,45.0,P,12.0,K,12.0,Gd,76.0,,,,,,,,,,,8.76647558214518
255,45.0,Si,76.0,P,12.0,K,12.0,,,,,,,,,,,8.317637353205301
256,45.0,P,12.0,K,12.0,Zr,76.0,,,,,,,,,,,8.600907724550265
257,45.0,P,12.0,K,12.0,Cr,76.0,,,,,,,,,,,7.4955134613141245
258,45.0,P,12.0,K,12.0,Ti,76.0,,,,,,,,,,,8.637426995779336
259,45.0,Ca,5.0,Zn,95.0,,,,,,,,,,,,,9.511237010714797
260,45.0,C,66.80000305175781,Al,4.699999809265137,Si,28.5,,,,,,,,,,,6.399881023839024
261,46.0,Na,10.0,Si,77.0,P,5.0,Mn,8.0,,,,,,,,,12.845389175230503
262,46.0,Na,25.0,Mg,63.0,Mn,12.0,,,,,,,,,,,12.69484851200895
263,48.0,Si,98.0,K,0.10000000149011612,Co,0.10000000149011612,Mo,1.7000000476837158,W,0.10000000149011612,,,,,,,6.277921912376233
264,48.0,Si,98.0,Co,0.10000000149011612,Mo,0.10000000149011612,W,1.7999999523162842,,,,,,,,,7.288902156567751
265,48.0,Si,98.0,K,0.8000000119209291,V,0.10000000149011612,Mo,1.0,W,0.10000000149011612,,,,,,,6.291751379810566
266,48.0,Al,80.0,Si,19.600000381469727,Co,0.019999999552965164,Mo,0.36000001430511475,W,0.019999999552965164,,,,,,,9.193822680485196
267,48.0,Si,98.0,Co,0.10000000149011612,Mo,1.7999999523162842,W,0.10000000149011612,,,,,,,,,5.4968015091836335
268,48.0,Si,98.0,V,0.10000000149011612,Mo,1.7999999523162842,W,0.10000000149011612,,,,,,,,,5.5154076310671805
269,50.0,Li,50.0,Y,50.0,,,,,,,,,,,,,12.457864844407696
270,51.0,Li,19.799999237060547,Mg,79.5999984741211,Ce,0.6000000238418579,,,,,,,,,,,13.579780451095123
271,52.0,Na,4.5,Si,79.19999694824219,Mn,16.299999237060547,,,,,,,,,,,11.222978557013368
272,52.0,Na,3.7999999523162837,Mg,92.4000015258789,Mn,3.7999999523162837,,,,,,,,,,,11.238063002661603
273,53.0,Mg,92.3000030517578,Pb,7.699999809265138,,,,,,,,,,,,,10.507932411113789
274,54.0,Sr,65.09999847412111,La,34.900001525878906,,,,,,,,,,,,,12.059398037543911
275,55.0,Li,50.0,Ni,50.0,,,,,,,,,,,,,11.906817770547935
276,56.0,Na,5.0,Mn,50.0,La,45.0,,,,,,,,,,,10.741038240548678
277,57.0,Na,5.0,Mn,50.0,Gd,45.0,,,,,,,,,,,10.855395881795758
278,57.0,Na,5.0,Mn,50.0,Sm,45.0,,,,,,,,,,,11.268263082440763
279,58.0,Al,50.0,La,50.0,,,,,,,,,,,,,9.72443373976343
280,59.0,Li,5.599999904632568,Mg,94.4000015258789,,,,,,,,,,,,,11.71105107577929
281,59.0,Ag,1.5,La,98.5,,,,,,,,,,,,,11.241197610538894
282,59.0,Ca,4.0,La,96.0,,,,,,,,,,,,,12.129058530455813
283,60.0,Fe,66.69999694824219,Zn,33.299999237060554,,,,,,,,,,,,,8.314610844303656
284,61.0,Li,2.0999999046325684,Zn,97.9000015258789,,,,,,,,,,,,,10.53035021783814
285,63.0,Na,23.10000038146973,Pr,76.9000015258789,,,,,,,,,,,,,12.085903426734314
286,64.0,Li,5.800000190734862,B,0.8999999761581421,Mg,93.3000030517578,,,,,,,,,,,13.673913136893827
287,64.0,Li,68.80000305175781,Ti,31.20000076293945,,,,,,,,,,,,,12.0504325558845
288,64.0,Li,60.0,Ti,20.0,Ni,20.0,,,,,,,,,,,12.50035300838341
289,65.0,Li,4.099999904632568,Mg,93.9000015258789,Ce,2.0,,,,,,,,,,,12.288856459792314
290,65.0,Li,4.099999904632568,Ca,93.9000015258789,Ce,2.0,,,,,,,,,,,11.290147399317485
291,65.0,Li,4.099999904632568,Sr,93.9000015258789,Ce,2.0,,,,,,,,,,,10.697004492385704
