,Prom,Prep,"Temperature, K",p(CH4)/p(O2),"p total, bar","Contact time, s",ei,make_nei,cluster,pred_y,mean,sigma,CI_low,CI_high
La:54.8 Cu:27.3 Ag:17.9,,Ceramic method,1023.0,2.4657530784606934,1.0130000114440918,2.4,0.14763125938511246,False,28,14.566423382067423,14.566423382067423,10.453527091602766,-5.922489717473997,35.05533648160885
Yb:34.0 Sr:33.0 Ti:29.7 Al:3.3,,SCS,1123.15,2.0,1.0,0.024,0.1270103372305197,False,39,18.09691108661594,18.096911086615943,8.393395549824751,1.645855808959432,34.547966364272455
Si:26.6 C:26.6 W:15.8 K:14.3 Cl:6.8 Y:5.9 Te:3.7 Mn:0.4,,Slurry,1023.15,3.0,1.0,0.36,0.11380557932178526,False,57,17.047003240117725,17.047003240117718,9.046722415759906,-0.6845726947716955,34.77857917500713
Bi:32.1 Cl:15.8 Nb:11.8 Zr:9.2 Ba:7.9 Sn:7.9 Ti:7.9 Yb:7.3,,Therm.decomp.,1073.15,2.0,1.9584661652399755,0.5454545454545454,0.10985300808143393,False,74,18.79750807264131,18.79750807264131,8.391590032866205,2.349991608223551,35.24502453705907
La:31.5 Mn:24.0 W:12.7 Ce:12.2 Cr:9.2 Na:7.9 Zr:1.7 Rh:0.8,,Ceramic method,1033.0,2.5,1.0,0.30816640986132515,0.10530686778074527,False,96,16.635105199237387,16.635105199237387,8.92953838484772,-0.8667900350641453,34.137000433538915
Si:39.4 Ho:16.6 Zr:15.9 Mo:8.8 Cu:5.9 In:5.6 Yb:4.9 Rb:2.8,,SPS,1092.15,2.1,1.6914715540725482,0.14686666666666665,0.10022937646895104,False,7,16.38186599622768,16.381865996227678,9.098731867186311,-1.4516484634574915,34.21538045591285
Si:27.5 Mg:17.7 Ni:13.1 Co:11.9 Nd:10.2 K:7.9 Cl:7.5 W:4.2,,Physical mixing,973.15,1.8904221945047444,1.0,0.07200000000000001,0.09714267610715087,False,37,13.818391626611357,13.818391626611357,10.429031727734076,-6.622510559747431,34.25929381297014
Si:65.4 Sm:18.3 Nb:11.9 Mn:2.2 Na:1.4 W:0.7,,Impregnation,1123.0,4.0,10.0,0.11007066274490808,0.09253619271835928,False,65,16.645696659036314,16.645696659036314,8.912167782318614,-0.8221521943081669,34.113545512380796
Si:42.4 Br:17.0 Sn:13.2 Cs:10.1 Zr:5.4 K:5.0 Mn:4.0 Ga:2.9,,Physical mixing,1023.15,3.0,1.0,0.06254280896463253,0.07868407393497613,False,23,14.201853642546864,14.201853642546862,10.017292609062775,-5.432039871216176,33.8357471563099
Mg:39.7 K:18.7 Si:14.8 La:11.7 W:7.1 Na:4.0 Ta:2.6 Cl:1.5,,Therm.decomp.,978.0,2.5,1.0130000114440918,4.8,0.07113088610454815,False,82,13.193843193235882,13.193843193235882,9.310299909882348,-5.054344630133521,31.442031016605284
Si:64.6 Nb:28.7 Ta:2.2 Mn:1.6 Na:1.5 Ce:0.8 W:0.7,,Impregnation,1113.15,4.0,1.0,0.0435584,0.05883487351524685,False,46,16.558614704469562,16.558614704469562,8.240412932559124,0.4074053566536797,32.70982405228544
Al:38.5 Li:34.0 W:27.5,,Ceramic method,1173.15,3.0,1.0,0.18,0.027644360371535642,False,62,16.338329104936076,16.338329104936076,7.348783997724565,1.9347124693959277,30.741945740476226
Si:39.3 C:39.3 Nb:8.6 N:5.9 K:5.4 Mn:0.6 Na:0.6 W:0.3,,Impregnation,1123.15,3.0,1.0,0.36,0.021900012494555143,False,20,16.7809524951253,16.7809524951253,7.237002955433911,2.5964267024748366,30.965478287775767
